"ID";"Leeftijd";"Regiokenmerken";"Inwoners_1";"Bijstandontvangers_2";"Bijstandsdichtheid_3";"Instroom_4";"Instroom_5";"Uitstroom_6";"Uitstroom_7";"UitstroomNaarWerk_8";"UitstroomNaarWerk_9";"PersonenMetReIntegratievoorziening_10";"WerkNaReIntegratie_11";"WerkNaReIntegratie_12";"PersonenMetBijstandEnReIntegratie_13";"BijstandontvangersMetReIntegratie_14";"ReIntegratieontvangersMetBijstand_15";"WSWWerknemers_16";"WSWDichtheid_17"
"478";"20150";"AM34   ";"  296890";"    8660";"    29.0";"    2800";"    25.5";"    2270";"    21.0";"    1170";"    12.0";"    4390";"    1080";"    15.5";"    3200";"    42.0";"    73.0";"     760";"     2.5"
"479";"20150";"AM35   ";"  117210";"    2330";"    20.0";"     790";"    27.5";"     570";"    19.5";"     270";"    10.0";"    1290";"     300";"    18.0";"    1080";"    50.5";"    84.0";"     590";"     5.0"
"480";"20150";"AM36   ";"  417190";"   10150";"    24.5";"    3270";"    25.5";"    2710";"    21.0";"    1440";"    12.0";"    4870";"    1630";"    23.5";"    3700";"    38.5";"    76.0";"    3000";"     7.0"
"481";"20150";"AM37   ";"  328040";"    9230";"    28.0";"    2510";"    22.0";"    2130";"    18.5";"     980";"     9.5";"    2220";"     530";"    12.5";"    1780";"    21.0";"    80.5";"    1480";"     4.5"
"482";"20150";"A007394";"   10310";"      60";"     6.0";"      30";"    34.5";"      20";"    26.5";"      20";"    20.0";"      30";"      10";"    17.5";"      20";"    38.5";"    64.5";"      30";"     3.0"
"483";"20150";"A007395";"  126640";"    2410";"    19.0";"     820";"    27.0";"     580";"    19.0";"     280";"    10.0";"    1000";"     210";"    14.0";"     760";"    34.5";"    76.0";"     600";"     4.5"
"484";"20150";"A007396";" 1238020";"   23620";"    19.0";"    8140";"    26.5";"    6520";"    21.5";"    3260";"    11.0";"   10820";"    2870";"    18.0";"    8350";"    37.5";"    77.0";"    8200";"     6.5"
"485";"20150";"A007398";" 5058860";"  113490";"    22.5";"   36870";"    25.5";"   29620";"    20.5";"   14830";"    11.0";"   52450";"   13470";"    17.5";"   40390";"    38.5";"    77.0";"   33620";"     6.5"
"486";"20150";"A007399";" 2613420";"   91430";"    35.0";"   26940";"    23.5";"   23100";"    20.0";"   11090";"    10.5";"   34290";"    9180";"    17.0";"   25880";"    31.0";"    75.5";"   18350";"     7.0"
"487";"20150";"A007402";" 1361430";"   51140";"    37.5";"   15280";"    24.0";"   12670";"    20.0";"    6260";"    10.5";"   14260";"    4900";"    20.5";"   10620";"    22.5";"    74.5";"    8600";"     6.5"
