"ID","Leeftijd","Regiokenmerken","Inwoners_1","Bijstandsontvangers_2","Bijstandsdichtheid_3","Instroom_4","Instroom_5","Uitstroom_6","Uitstroom_7","UitstroomNaarWerk_8","UitstroomNaarWerk_9","PersonenMetReIntegratievoorziening_10","WerkNaReIntegratie_11","WerkNaReIntegratie_12","PersonenMetBijstandEnReIntegratie_13","BijstandsontvangersMetReIntegratie_14","ReIntegratieontvangersMetBijstand_15","WSWWerknemers_16","WSWDichtheid_17"
"1375","90200","GM0626 ","    5610","      40","     8.0","      10","    10.0","      10","    19.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1376","90200","GM0285 ","    5300","      30","     6.0","      10","    16.0","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1377","90200","GM0865 ","    5120","      30","     6.5","       0","       .","      10","    29.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1378","90200","GM0866 ","    3940","      30","     6.5","       0","       .","      10","    26.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1379","90200","GM0867 ","    9490","      70","     8.0","      10","     6.5","      20","    21.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1380","90200","GM0627 ","    5210","      40","     8.5","       0","       .","      10","    12.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1381","90200","GM0289 ","    5830","      70","    11.0","      10","    13.0","      10","    14.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1382","90200","GM0629 ","    6390","      40","     7.0","      10","    10.5","      10","    25.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1383","90200","GM0852 ","    3950","      20","     4.0","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1384","90200","GM0988 ","   10740","     120","    11.5","      20","    13.0","      20","    13.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1385","90200","GM0457 ","    3610","      80","    21.5","      10","     9.5","      10","    11.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
