"ID","Perioden","TotaalArbeidsongeschiktheidsuitkeringen_1","WAOUitkeringen_2","WajongUitkeringen_3","WAZUitkeringen_4","TotaalWIAUitkeringen_5","IVAUitkeringen_6","WGAUitkeringen_7","NietSeizoengecorrigeerd_8","Seizoengecorrigeerd_9","IOWUitkeringen_10","TotaalBijstandsuitkeringen_11","BijstandsuitkeringenTotDeAOWLeeftijd_12","BijstandsuitkeringenVanafAOWLeeftijd_13","IOAWUitkeringen_14","IOAZUitkeringen_15","AOWUitkeringen_16","AnwUitkeringen_17","AKWUitkeringen_18"
"137","2008MM08","   838.7","   572.1","   174.6","    39.9","    52.2","    11.9","    40.2","   165.2","   168.3","","   297.8","   264.9","    32.9","     6.1","     1.6","  2707.4","   118.4",""
"138","2008MM09","   839.6","   570.4","   175.5","    39.6","    54.0","    12.4","    41.6","   161.4","   166.4","","   295.2","   262.2","    33.0","     6.1","     1.6","  2714.3","   117.6","  1940.4"
"139","2008MM10","   839.3","   567.4","   176.5","    39.3","    56.0","    12.9","    43.1","   160.8","   165.9","","   293.6","   260.4","    33.3","     6.1","     1.6","  2721.5","   116.9",""
"140","2008MM11","   838.6","   564.0","   177.7","    39.0","    57.9","    13.4","    44.5","   163.7","   166.4","","   292.6","   259.2","    33.4","     6.2","     1.5","  2727.2","   116.2",""
"141","2008MM12","   837.5","   561.2","   178.2","    38.7","    59.5","    13.9","    45.6","   170.8","   170.6","","   292.3","   258.8","    33.6","     6.3","     1.5","  2734.5","   115.2","  1929.7"
"142","2008JJ00","   842.1","   580.0","   172.4","    40.7","    48.9","    11.1","    37.8","   174.6","       .","","   299.3","   267.0","    32.3","     6.0","     1.6","  2695.6","   119.7","  1935.2"
"143","2009MM01","   837.2","   557.7","   179.4","    38.3","    61.7","    14.4","    47.3","   182.7","   177.6","","   292.6","   258.8","    33.7","     6.5","     1.5","  2737.9","   114.8",""
"144","2009MM02","   837.0","   554.8","   180.5","    38.0","    63.7","    15.0","    48.7","   190.9","   183.4","","   294.6","   260.6","    34.0","     6.6","     1.5","  2741.6","   114.1",""
"145","2009MM03","   835.9","   551.4","   181.2","    37.6","    65.6","    15.5","    50.0","   197.8","   191.9","","   297.3","   263.1","    34.2","     6.9","     1.5","  2749.0","   113.3","  1935.1"
"146","2009MM04","   834.8","   548.2","   182.0","    37.3","    67.2","    16.0","    51.2","   205.1","   201.7","","   299.8","   265.4","    34.4","     7.0","     1.5","  2755.8","   112.6",""
"147","2009MM05","   833.5","   545.0","   183.1","    36.9","    68.5","    16.3","    52.2","   210.7","   210.6","","   301.8","   267.3","    34.5","     7.1","     1.5","  2763.1","   111.9",""
"148","2009MM06","   832.6","   541.9","   184.2","    36.6","    70.0","    16.6","    53.3","   220.2","   221.6","","   304.7","   270.1","    34.6","     7.3","     1.5","  2768.4","   111.2","  1938.6"
"149","2009MM07","   832.4","   538.8","   185.5","    36.2","    71.8","    17.2","    54.7","   229.7","   232.2","","   307.9","   272.8","    35.1","     7.5","     1.5","  2778.2","   110.4",""
"150","2009MM08","   832.0","   535.9","   186.7","    35.9","    73.4","    17.6","    55.8","   237.1","   240.4","","   309.6","   274.4","    35.2","     7.6","     1.5","  2785.8","   109.5",""
"151","2009MM09","   831.5","   532.6","   187.8","    35.6","    75.5","    18.1","    57.3","   241.6","   248.4","","   310.2","   274.9","    35.3","     7.7","     1.4","  2793.6","   108.7","  1942.8"
"152","2009MM10","   832.8","   529.8","   189.2","    35.3","    78.6","    18.9","    59.6","   250.4","   258.5","","   311.8","   276.3","    35.5","     7.8","     1.4","  2800.2","   108.2",""
"153","2009MM11","   834.0","   527.5","   190.6","    35.0","    80.9","    19.6","    61.3","   258.6","   265.0","","   313.6","   278.0","    35.6","     8.0","     1.4","  2805.3","   107.5",""
"154","2009MM12","   834.1","   524.9","   191.7","    34.7","    82.8","    20.1","    62.8","   269.9","   271.7","     0.0","   316.6","   280.8","    35.8","     8.2","     1.4","  2812.9","   106.5","  1932.7"
"155","2009JJ00","   834.1","   542.2","   184.6","    36.6","    70.7","    16.9","    53.8","   220.4","       .","","   304.0","   269.3","    34.7","     7.3","     1.5","  2771.1","   111.1","  1936.9"
"156","2010MM01","   831.5","   518.8","   193.4","    33.8","    85.5","    20.8","    64.7","   283.2","   273.9","     0.1","   320.1","   284.2","    35.9","     8.3","     1.5","  2817.5","   106.1",""
"157","2010MM02","   831.0","   515.4","   194.4","    33.5","    87.7","    21.5","    66.2","   289.6","   277.8","     0.1","   324.1","   287.9","    36.2","     8.5","     1.5","  2823.0","   105.4",""
"158","2010MM03","   830.0","   512.0","   195.1","    33.1","    89.8","    22.2","    67.6","   281.8","   273.4","     0.2","   328.6","   292.1","    36.5","     8.7","     1.4","  2831.4","   104.6","  1938.4"
"159","2010MM04","   828.4","   507.7","   195.8","    32.7","    92.1","    22.8","    69.3","   274.7","   270.9","     0.2","   332.6","   295.8","    36.7","     8.8","     1.5","  2839.6","   103.8",""
"160","2010MM05","   828.1","   504.8","   196.9","    32.4","    94.0","    23.3","    70.7","   267.6","   268.3","     0.2","   334.8","   297.8","    37.0","     8.9","     1.5","  2847.3","   102.9",""
"161","2010MM06","   827.6","   501.7","   198.1","    32.0","    95.9","    23.9","    71.9","   261.4","   264.7","     0.2","   337.4","   300.2","    37.2","     9.0","     1.4","  2852.2","   102.4","  1940.9"
"162","2010MM07","   828.2","   498.8","   199.5","    31.7","    98.2","    24.7","    73.5","   260.5","   264.1","     0.3","   339.3","   301.7","    37.6","     9.2","     1.5","  2859.5","   101.7",""
"163","2010MM08","   828.2","   496.2","   200.2","    31.4","   100.3","    25.3","    75.0","   260.7","   264.5","     0.3","   340.2","   302.4","    37.8","     9.3","     1.5","  2866.0","   100.9",""
"164","2010MM09","   828.7","   493.9","   201.0","    31.2","   102.6","    25.9","    76.7","   254.2","   262.2","     0.3","   339.5","   301.7","    37.8","     9.4","     1.4","  2870.5","   100.4","  1941.7"
"165","2010MM10","   830.5","   491.7","   202.4","    30.9","   105.5","    26.8","    78.8","   250.5","   258.6","     0.3","   340.6","   302.6","    38.0","     9.5","     1.4","  2874.4","    99.9",""
"166","2010MM11","   831.0","   488.9","   203.7","    30.7","   107.8","    27.4","    80.4","   253.4","   259.4","     0.4","   342.4","   304.2","    38.1","     9.5","     1.4","  2877.3","    99.3",""
"167","2010MM12","   831.9","   486.3","   205.1","    30.4","   110.1","    28.2","    81.9","   263.7","   262.7","     0.4","   345.2","   307.0","    38.3","     9.6","     1.4","  2881.3","    98.4","  1932.1"
"168","2010JJ00","   829.7","   503.0","   198.2","    32.2","    96.3","    24.1","    72.3","   267.0","       .","     0.2","   334.2","   297.1","    37.2","     9.0","     1.4","  2850.5","   102.5","  1938.3"
"169","2011MM01","   832.2","   483.2","   206.3","    30.1","   112.7","    28.9","    83.8","   276.2","   264.9","     0.4","   350.9","   312.4","    38.5","     9.7","     1.5","  2885.7","    98.0",""
"170","2011MM02","   831.9","   479.7","   207.3","    29.7","   115.2","    29.6","    85.6","   273.8","   260.5","     0.4","   353.6","   314.9","    38.7","     9.8","     1.5","  2893.2","    97.5",""
"171","2011MM03","   830.6","   475.8","   208.2","    29.2","   117.3","    30.3","    87.0","   265.9","   256.4","     0.5","   356.2","   317.2","    38.9","     9.8","     1.5","  2907.2","    96.5","  1938.4"
"172","2011MM04","   829.7","   472.1","   209.2","    28.8","   119.7","    31.0","    88.7","   258.4","   254.7","     0.5","   356.7","   317.6","    39.1","     9.8","     1.4","  2920.9","    95.4",""
"173","2011MM05","   828.8","   468.1","   210.1","    28.4","   122.2","    31.7","    90.5","   253.5","   254.8","     0.5","   356.8","   317.5","    39.3","     9.8","     1.4","  2934.7","    94.1",""
"174","2011MM06","   826.7","   463.9","   210.9","    28.0","   123.9","    32.2","    91.7","   250.7","   255.3","     0.6","   356.4","   316.9","    39.5","     9.7","     1.4","  2947.0","    93.0","  1941.8"
"175","2011MM07","   825.8","   460.0","   212.0","    27.6","   126.2","    32.8","    93.4","   252.8","   256.8","     0.6","   356.1","   316.1","    40.0","     9.7","     1.4","  2962.6","    91.8",""
"176","2011MM08","   825.4","   456.7","   212.9","    27.3","   128.6","    33.4","    95.2","   255.3","   258.7","     0.6","   355.1","   315.0","    40.1","     9.7","     1.4","  2974.9","    90.8",""
"177","2011MM09","   825.0","   453.3","   213.7","    26.9","   131.1","    34.0","    97.1","   251.2","   259.8","     0.6","   354.5","   314.3","    40.2","     9.8","     1.4","  2986.1","    89.8","  1944.1"
"178","2011MM10","   825.6","   450.3","   214.7","    26.6","   133.9","    34.7","    99.2","   252.5","   261.7","     0.6","   355.0","   314.6","    40.3","     9.7","     1.4","  2997.4","    88.9",""
"179","2011MM11","   824.6","   447.2","   215.3","    26.3","   135.8","    35.3","   100.5","   257.8","   264.7","     0.6","   356.7","   316.3","    40.4","     9.8","     1.4","  3006.3","    88.0",""
"180","2011MM12","   824.5","   443.9","   216.2","    26.0","   138.3","    36.0","   102.4","   269.9","   269.1","     0.7","   359.1","   318.6","    40.5","     9.8","     1.4","  3017.0","    86.7","  1933.9"
"181","2011JJ00","   827.9","   464.6","   210.9","    28.1","   124.2","    32.2","    92.1","   259.6","       .","     0.5","   355.0","   315.5","    39.5","     9.7","     1.4","  2947.1","    93.0","  1939.3"
"182","2012MM01","   822.6","   438.9","   217.2","    25.5","   141.0","    36.7","   104.3","   291.6","   279.0","     0.7","   358.0","   318.5","    39.5","     9.9","     1.4","  3026.2","    86.0",""
"183","2012MM02","   822.0","   435.5","   218.1","    25.2","   143.2","    37.4","   105.9","   298.9","   283.4","     0.7","   359.0","   319.4","    39.6","    10.0","     1.4","  3034.1","    85.2",""
"184","2012MM03","   821.2","   432.1","   219.0","    24.9","   145.2","    38.0","   107.3","   295.6","   285.5","     0.8","   359.2","   319.5","    39.7","    10.0","     1.4","  3044.9","    84.2","  1937.1"
"185","2012MM04","   820.4","   428.5","   222.0","    24.5","   147.3","    38.7","   108.6","   292.1","   288.2","     0.8","   359.5","   319.8","    39.8","    10.2","     1.4","  3054.5","    83.3",""
"186","2012MM05","   819.4","   425.3","   220.9","    24.2","   149.0","    39.3","   109.7","   290.9","   292.1","     0.8","   360.5","   320.7","    39.8","    10.3","     1.4","  3066.7","    82.2",""
"187","2012MM06","   819.7","   425.1","   221.0","    24.2","   149.4","    39.5","   109.9","   290.6","   295.6","     0.9","   361.0","   321.3","    39.8","    10.4","     1.4","  3075.6","    81.1","  1938.6"
"188","2012MM07","   818.2","   421.3","   221.9","    23.9","   151.0","    40.0","   111.0","   298.0","   302.4","     0.9","   361.6","   321.5","    40.0","    10.5","     1.4","  3087.7","    80.0",""
"189","2012MM08","   817.7","   418.1","   223.0","    23.6","   153.0","    40.6","   112.4","   304.0","   308.5","     0.9","   361.8","   322.1","    39.7","    10.6","     1.4","  3098.5","    79.1",""
