"ID","Leeftijd","Regiokenmerken","Inwoners_1","Bijstandsontvangers_2","Bijstandsdichtheid_3","Instromers_4","Instromers_5","Uitstromers_6","Uitstromers_7","UitstromersNaarWerk_8","UitstromersNaarWerk_9","PersonenMetReIntegratievoorziening_10","WerkendenNaReIntegratie_11","WerkendenNaReIntegratie_12","PersonenMetBijstandEnReIntegratie_13","BijstandontvangersMetReIntegratie_14","ReIntegratieontvangersMetBijstand_15","WSWWerknemers_16","WSWDichtheid_17"
"389","20150","GM0047","   23140","    1000","    43.0","     340","    25.0","     340","    25.0","     150","    11.0","     690","     160","    17.0","     590","    62.0","    86.0","     480","    20.5"
"390","20150","GM0345","   51640","    1740","    34.0","     500","    22.5","     450","    20.5","     210","    11.0","     780","      80","    13.5","     450","    30.0","    58.0","     320","     6.5"
"391","20150","GM0717","   18560","     220","    12.0","      80","    28.0","      40","    15.5","      20","     7.5","      10","      10","     7.0","      10","     4.0","    80.0","      60","     3.5"
"392","20150","GM0860","   31650","     580","    18.0","     190","    26.0","     150","    20.0","      70","    12.0","     280","      50","    16.5","     220","    46.5","    79.5","     340","    10.5"
"393","20150","GM0861","   37380","     620","    16.5","     190","    24.0","     170","    21.0","      80","    10.5","     430","      80","    14.5","     370","    63.0","    85.0","     210","     5.5"
"394","20150","GM0453","   56860","    1530","    27.0","     440","    22.5","     410","    21.5","     180","    10.0","     580","     170","    18.5","     450","    31.5","    78.0","     260","     4.5"
"395","20150","GM0983","   85280","    3560","    42.0","    1140","    24.5","    1100","    23.5","     560","    13.0","     500","     150","    34.0","     100","     3.0","    20.0","     720","     8.5"
"396","20150","GM0984","   36530","     990","    27.0","     400","    31.0","     310","    24.0","     160","    13.5","     110","      30","    23.0","      30","     3.0","    23.5","     510","    14.0"
"397","20150","GM0620","   16130","     320","    19.5","     120","    27.0","     110","    25.0","      60","    14.0","     170","      50","    22.0","     130","    45.5","    79.0","      40","     2.5"
"398","20150","GM0622","   60440","    2870","    47.5","     890","    25.5","     660","    18.5","     270","     8.0","     450","     260","    27.5","     330","    12.5","    73.5","     400","     6.5"
"399","20150","GM0048","   14140","     340","    24.0","     190","    38.0","     130","    27.0","      70","    15.0","     240","      60","    15.5","     210","    63.5","    87.0","     330","    23.0"
"400","20150","GM0096","     950","      10","     7.5","       0","       .","       0","       .","       0","       .","       0","       0","       .","       0","       .","       .","       0","       ."
"401","20150","GM0718","   37850","    2110","    56.0","     640","    24.0","     490","    19.0","     270","    11.0","     150","      50","     6.0","     110","     5.5","    74.5","     390","    10.5"
"402","20150","GM0986","   10770","     150","    13.5","      50","    22.0","      50","    26.0","      30","    15.0","     170","      40","    21.5","     120","    90.0","    75.0","      80","     7.5"
"403","20150","GM0626","   20650","     390","    19.0","     120","    23.5","      90","    17.5","      50","    10.0","     310","      40","    11.5","     240","    69.5","    78.5","      70","     3.0"
"404","20150","GM0285","   20160","     320","    16.0","     110","    25.5","     100","    22.5","      60","    14.0","      90","      20","    17.0","      70","    23.0","    73.0","     100","     5.0"
"405","20150","GM0865","   21570","     330","    15.5","     120","    29.0","      80","    20.5","      50","    12.5","     250","      40","    15.0","     190","    61.5","    74.0","     230","    10.5"
