"ID";"Perioden";"Overheidsinkomsten_1";"Overheidsuitgaven_2";"Overheidssaldo_3";"OverheidsschuldEMU_4";"CollectieveLasten_5";"Overheidsconsumptie_6";"OverheidsinkomstenSeizoengecorrigeerd_7";"OverheidsuitgavenSeizoengecorrigeerd_8";"OverheidssaldoSeizoengecorrigeerd_9";"NettoBesparingen_10";"SaldoNettoBespEnKapitaaloverdr_11";"Aardgasbaten_12";"Overheidsinkomsten_13";"Overheidsuitgaven_14";"Overheidssaldo_15";"OverheidsschuldEMU_16";"CollectieveLasten_17";"Overheidsconsumptie_18";"OverheidsinkomstenSeizoengecorrigeerd_19";"OverheidsuitgavenSeizoengecorrigeerd_20";"OverheidssaldoSeizoengecorrigeerd_21";"NettoBesparingen_22";"SaldoNettoBespEnKapitaaloverdr_23";"Aardgasbaten_24";"WerkzamePersonen_25";"Arbeidsjaren_26";"GewerkteUren_27"
"76";"2013KW03";"   66108";"   73980";"   -7872";"  446393";"   55631";"   40740";"   72329";"   77595";"   -5266";"   -7111";"   -7070";"       .";"    43.8";"    46.7";"    -2.9";"    67.8";"    36.0";"    26.0";"    43.7";"    46.9";"    -3.2";"    -2.1";"    -2.6";"       .";"       .";"       .";"       ."
"77";"2013KW04";"   73412";"   77654";"   -4242";"  446944";"   60091";"   44259";"   71188";"   76648";"   -5460";"   -3817";"   -4158";"       .";"    43.6";"    46.5";"    -2.9";"    67.7";"    35.8";"    25.8";"    42.9";"    46.1";"    -3.3";"    -2.1";"    -2.7";"       .";"       .";"       .";"       ."
"78";"2013JJ00";"  287916";"  307259";"  -19343";"  446944";"  236301";"  170326";"";"";"";"  -14139";"  -17661";"   15372";"    43.6";"    46.5";"    -2.9";"    67.7";"    35.8";"    25.8";"";"";"";"    -2.1";"    -2.7";"     2.3";"    1120";"     972";"    1541"
"79";"2014KW01";"   74810";"   75643";"    -833";"  445299";"   61823";"   41518";"   71897";"   76682";"   -4785";"    1214";"    -737";"       .";"    43.3";"    46.3";"    -3.0";"    67.1";"    35.9";"    25.7";"    43.0";"    45.8";"    -2.9";"    -2.4";"    -2.7";"       .";"       .";"       .";"       ."
"80";"2014KW02";"   74562";"   80786";"   -6224";"  455932";"   63290";"   44590";"   73316";"   77005";"   -3689";"   -5730";"   -5968";"       .";"    43.4";"    46.3";"    -2.9";"    68.5";"    36.2";"    25.7";"    44.0";"    46.2";"    -2.2";"    -2.3";"    -2.7";"       .";"       .";"       .";"       ."
"81";"2014KW03";"   67136";"   72835";"   -5699";"  454375";"   57201";"   41399";"   73517";"   76520";"   -3003";"   -5324";"   -5566";"       .";"    43.4";"    46.0";"    -2.5";"    68.1";"    36.3";"    25.7";"    43.9";"    45.7";"    -1.8";"    -2.0";"    -2.5";"       .";"       .";"       .";"       ."
"82";"2014KW04";"   76222";"   77918";"   -1696";"  455706";"   63990";"   44958";"   74291";"   77168";"   -2877";"   -2082";"   -2078";"       .";"    43.6";"    45.7";"    -2.2";"    67.9";"    36.7";"    25.7";"    43.7";"    45.4";"    -1.7";"    -1.8";"    -2.1";"       .";"       .";"       .";"       ."
"83";"2014JJ00";"  292730";"  307182";"  -14452";"  455706";"  246304";"  172465";"";"";"";"  -11922";"  -14349";"   10387";"    43.6";"    45.7";"    -2.2";"    67.9";"    36.7";"    25.7";"";"";"";"    -1.8";"    -2.1";"     1.5";"    1107";"     966";"    1540"
"84";"2015KW01";"   76593";"   76566";"      27";"  464416";"   64762";"   41364";"   73371";"   77334";"   -3963";"    2147";"     371";"       .";"    43.7";"    45.7";"    -2.0";"    68.9";"    37.0";"    25.6";"    43.2";"    45.6";"    -2.3";"    -1.6";"    -2.0";"       .";"       .";"       .";"       ."
"85";"2015KW02";"   74040";"   80537";"   -6497";"  453269";"   63234";"   44407";"   72800";"   76760";"   -3960";"   -6232";"   -6413";"       .";"    43.3";"    45.3";"    -2.0";"    66.7";"    36.7";"    25.3";"    42.2";"    44.5";"    -2.3";"    -1.7";"    -2.0";"       .";"       .";"       .";"       ."
"86";"2015KW03";"   67126";"   72998";"   -5872";"  451583";"   57719";"   41669";"   73260";"   76662";"   -3402";"   -5565";"   -5564";"       .";"    42.9";"    44.9";"    -2.0";"    65.8";"    36.4";"    25.1";"    42.1";"    44.1";"    -2.0";"    -1.7";"    -2.0";"       .";"       .";"       .";"       ."
"87";"2015KW04";"   76097";"   77725";"   -1628";"  446058";"   66091";"   44914";"   74721";"   77229";"   -2508";"   -1477";"   -1790";"       .";"    42.6";"    44.6";"    -2.0";"    64.6";"    36.5";"    25.0";"    42.9";"    44.4";"    -1.4";"    -1.6";"    -1.9";"       .";"       .";"       .";"       ."
"88";"2015JJ00";"  293856";"  307826";"  -13970";"  446058";"  251806";"  172354";"";"";"";"  -11127";"  -13396";"    5262";"    42.6";"    44.6";"    -2.0";"    64.6";"    36.5";"    25.0";"";"";"";"    -1.6";"    -1.9";"     0.8";"    1100";"     959";"    1516"
"89";"2016KW01";"   78663";"   76938";"    1725";"  446531";"   68699";"   41649";"   74952";"   77529";"   -2577";"    4224";"    1998";"       .";"    42.6";"    44.3";"    -1.8";"    64.3";"    36.8";"    24.8";"    42.8";"    44.3";"    -1.5";"    -1.3";"    -1.7";"       .";"       .";"       .";"       ."
"90";"2016KW02";"   79396";"   81165";"   -1769";"  442373";"   69004";"   45196";"   78159";"   77381";"     778";"   -1793";"   -1773";"       .";"    43.1";"    44.1";"    -1.1";"    63.2";"    37.4";"    24.8";"    44.4";"    44.0";"     0.4";"    -0.7";"    -1.0";"       .";"       .";"       .";"       ."
"91";"2016KW03";"   72181";"   74321";"   -2140";"  433510";"   63033";"   42263";"   78575";"   77894";"     681";"   -2189";"   -1850";"       .";"    43.6";"    44.1";"    -0.5";"    61.6";"    37.9";"    24.7";"    44.2";"    43.8";"     0.4";"    -0.2";"    -0.5";"       .";"       .";"       .";"       ."
"92";"2016KW04";"   78603";"   76271";"    2332";"  438418";"   68205";"   45734";"   77699";"   76034";"    1665";"    3253";"    2050";"       .";"    43.6";"    43.6";"     0.0";"    61.9";"    38.0";"    24.7";"    43.3";"    42.3";"     0.9";"     0.5";"     0.1";"       .";"       .";"       .";"       ."
"93";"2016JJ00";"  308843";"  308695";"     148";"  438418";"  268941";"  174842";"";"";"";"    3495";"     425";"    2698";"    43.6";"    43.6";"     0.0";"    61.9";"    38.0";"    24.7";"";"";"";"     0.5";"     0.1";"     0.4";"    1096";"     956";"    1518"
"94";"2017KW01";"   83863";"   76996";"    6867";"  426814";"   73986";"   42576";"   79359";"   77475";"    1884";"    9321";"    7025";"       .";"    43.9";"    43.2";"     0.7";"    59.7";"    38.4";"    24.6";"    43.9";"    42.8";"     1.0";"     1.2";"     0.8";"       .";"       .";"       .";"       ."
"95";"2017KW02";"   80707";"   81959";"   -1252";"  424720";"   70827";"   46159";"   79744";"   78182";"    1562";"   -1873";"   -1529";"       .";"    43.7";"    42.9";"     0.8";"    58.8";"    38.2";"    24.5";"    43.4";"    42.6";"     0.9";"     1.2";"     0.8";"       .";"       .";"       .";"       ."
"96";"2017KW03";"   74674";"   75205";"    -531";"  416081";"   65343";"   43073";"   81053";"   78633";"    2420";"    -375";"    -119";"       .";"    43.6";"    42.6";"     1.0";"    57.0";"    38.2";"    24.3";"    43.7";"    42.4";"     1.3";"     1.4";"     1.0";"       .";"       .";"       .";"       ."
"97";"2017KW04";"   82980";"   79105";"    3875";"  419778";"   72309";"   46889";"   82430";"   79048";"    3382";"    3653";"    3985";"       .";"    43.7";"    42.5";"     1.2";"    57.0";"    38.3";"    24.2";"    43.9";"    42.1";"     1.8";"     1.5";"     1.3";"       .";"       .";"       .";"       ."
"98";"2017JJ00";"  322224";"  313265";"    8959";"  419778";"  282465";"  178697";"";"";"";"   10726";"    9362";"    2824";"    43.7";"    42.5";"     1.2";"    57.0";"    38.3";"    24.2";"";"";"";"     1.5";"     1.3";"     0.4";"    1087";"     950";"    1502"
"99";"2018KW01";"   89208";"   79259";"    9949";"  411482";"   79359";"   44681";"   83992";"   79709";"    4283";"   12191";"   10047";"       .";"    43.9";"    42.3";"     1.6";"    55.1";"    38.5";"    24.2";"    44.0";"    41.8";"     2.2";"     1.8";"     1.7";"       .";"       .";"       .";"       ."
"100";"2018KW02";"   84935";"   84083";"     852";"  407893";"   73984";"   47105";"   84150";"   80232";"    3918";"    1452";"     811";"       .";"    43.9";"    42.0";"     1.9";"    54.0";"    38.5";"    24.1";"    43.8";"    41.8";"     2.0";"     2.2";"     1.9";"       .";"       .";"       .";"       ."
"101";"2018KW03";"   78720";"   77661";"    1059";"  404453";"   68765";"   44986";"   85322";"   81074";"    4248";"    1685";"    1899";"       .";"    43.9";"    41.9";"     2.1";"    52.9";"    38.5";"    24.0";"    43.9";"    41.7";"     2.2";"     2.5";"     2.2";"       .";"       .";"       .";"       ."
